age,gender,location,province,education_level,employment_sector,income_quintile,has_national_id,has_proof_of_address,has_tin,has_employment_proof,kyc_doc_score,kyc_barrier_level,distance_to_branch_km,has_mobile_phone,has_internet,financially_excluded
18,Male,Rural,Matabeleland South,Secondary,Informal,2,1,0,0,1,2,Medium,3.6,1,0,0
53,Female,Urban,Bulawayo,Secondary,Informal,4,1,1,0,1,3,Low,0.3,1,1,0
54,Female,Rural,Masvingo,Secondary,Unemployed,1,1,1,0,0,2,Medium,20.0,1,0,1
31,Male,Rural,Masvingo,Primary,Informal,4,1,0,1,1,3,Low,4.8,1,1,1
45,Male,Urban,Harare,None,Informal,4,1,1,1,1,4,Low,2.4,0,1,1
34,Male,Rural,Mashonaland Central,None,Informal,1,0,0,0,0,0,High,19.3,0,0,1
41,Female,Rural,Matabeleland South,Secondary,Unemployed,3,1,0,0,0,1,High,10.5,0,1,0
21,Female,Rural,Mashonaland West,Secondary,Unemployed,1,1,1,0,0,2,Medium,2.7,0,0,0
46,Female,Urban,Bulawayo,Secondary,Formal,4,1,1,1,1,4,Low,1.1,1,1,0
18,Male,Urban,Matabeleland South,None,Informal,3,1,1,1,1,4,Low,3.3,1,1,0
18,Male,Urban,Harare,Secondary,Informal,3,0,1,0,0,1,High,3.7,1,1,0
36,Female,Rural,Mashonaland West,Secondary,Informal,3,1,1,0,0,2,Medium,3.3,1,1,0
35,Male,Rural,Mashonaland East,None,Informal,2,1,1,0,0,2,Medium,8.9,1,0,0
41,Female,Rural,Manicaland,Secondary,Informal,2,1,1,0,1,3,Low,5.8,1,1,1
28,Male,Urban,Matabeleland South,Secondary,Formal,5,1,1,1,1,4,Low,1.2,1,1,0
64,Male,Urban,Midlands,Secondary,Informal,4,1,1,0,1,3,Low,1.3,1,1,0
40,Female,Rural,Mashonaland East,None,Unemployed,1,0,0,1,0,1,High,25.4,1,0,1
41,Male,Urban,Matabeleland South,Tertiary,Formal,5,1,1,1,1,4,Low,0.7,1,1,1
40,Female,Rural,Manicaland,Secondary,Informal,1,1,0,0,1,2,Medium,3.1,1,0,1
52,Male,Rural,Midlands,Primary,Informal,2,0,0,0,0,0,High,8.8,1,1,1
46,Female,Rural,Matabeleland South,Secondary,Informal,2,1,1,0,0,2,Medium,7.7,1,0,0
44,Female,Urban,Harare,Tertiary,Formal,5,1,1,0,1,3,Low,4.0,1,1,0
48,Female,Rural,Masvingo,Secondary,Informal,2,1,0,1,1,3,Low,38.5,1,0,0
18,Female,Rural,Matabeleland South,Secondary,Informal,2,0,1,0,1,2,Medium,3.3,0,1,1
18,Female,Rural,Mashonaland East,Primary,Informal,2,1,1,1,0,3,Low,32.2,0,1,1
36,Female,Urban,Harare,Tertiary,Formal,5,1,0,1,1,3,Low,0.3,1,1,0
35,Male,Urban,Bulawayo,Secondary,Formal,4,1,1,1,1,4,Low,1.8,1,1,0
46,Male,Urban,Harare,Tertiary,Informal,4,1,1,0,0,2,Medium,5.5,1,1,0
38,Female,Urban,Harare,Secondary,Unemployed,4,1,1,1,0,3,Low,2.5,1,1,0
46,Male,Rural,Mashonaland Central,None,Unemployed,1,1,0,0,0,1,High,6.7,1,0,1
20,Male,Rural,Matabeleland South,Secondary,Unemployed,2,0,0,0,0,0,High,2.6,0,1,1
37,Female,Rural,Mashonaland East,Secondary,Formal,4,1,1,0,1,3,Low,10.5,1,1,0
19,Male,Urban,Bulawayo,Secondary,Unemployed,3,1,1,0,0,2,Medium,1.1,1,1,0
43,Female,Urban,Harare,Tertiary,Informal,5,1,1,0,1,3,Low,0.1,1,1,0
18,Female,Urban,Harare,Primary,Informal,3,1,1,0,0,2,Medium,1.2,1,1,1
42,Male,Urban,Bulawayo,Secondary,Informal,2,1,1,0,1,3,Low,5.3,1,1,1
18,Female,Urban,Harare,Secondary,Formal,5,1,1,1,1,4,Low,0.4,1,1,0
32,Male,Urban,Bulawayo,Secondary,Formal,4,1,1,1,1,4,Low,8.2,1,1,0
50,Female,Urban,Harare,Secondary,Formal,3,1,0,1,1,3,Low,0.3,1,1,0
41,Female,Rural,Matabeleland North,Tertiary,Informal,2,1,0,0,0,1,High,10.4,1,1,1
18,Male,Urban,Harare,Secondary,Informal,4,1,1,0,0,2,Medium,1.3,1,1,0
28,Male,Rural,Midlands,Secondary,Unemployed,2,1,1,1,0,3,Low,34.6,1,0,1
18,Male,Rural,Manicaland,Secondary,Formal,3,1,1,1,1,4,Low,23.3,1,0,0
18,Male,Urban,Masvingo,Tertiary,Informal,4,1,1,0,0,2,Medium,1.3,0,1,0
39,Male,Rural,Mashonaland Central,Secondary,Informal,3,1,1,0,0,2,Medium,44.5,1,0,0
45,Female,Rural,Manicaland,Secondary,Formal,3,0,1,0,0,1,High,2.1,1,1,1
