age,gender,location,province,education_level,employment_sector,income_quintile,has_national_id,has_proof_of_address,has_tin,has_employment_proof,kyc_doc_score,kyc_barrier_level,distance_to_branch_km,has_mobile_phone,has_internet,financially_excluded,kyc_gap_score,demographic_score,institutional_score,feri_score,feri_band
18,Male,Rural,Matabeleland South,Secondary,Informal,2,1,0,0,1,2,Medium,3.6,1,0,0,50,48.0,40.0,47.3,High Risk
53,Female,Urban,Bulawayo,Secondary,Informal,4,1,1,0,1,3,Low,0.3,1,1,0,20,22.0,0.0,16.7,Low Risk
54,Female,Rural,Masvingo,Secondary,Unemployed,1,1,1,0,0,2,Medium,20.0,1,0,1,30,65.0,55.0,47.25,High Risk
31,Male,Rural,Masvingo,Primary,Informal,4,1,0,1,1,3,Low,4.8,1,1,1,30,38.0,20.0,30.8,Moderate Risk
45,Male,Urban,Harare,None,Informal,4,1,1,1,1,4,Low,2.4,0,1,1,0,24.0,30.0,14.4,Low Risk
34,Male,Rural,Mashonaland Central,None,Informal,1,0,0,0,0,0,High,19.3,0,0,1,100,59.0,85.0,82.65,Critical Risk
41,Female,Rural,Matabeleland South,Secondary,Unemployed,3,1,0,0,0,1,High,10.5,0,1,0,60,50.0,65.0,57.5,High Risk
21,Female,Rural,Mashonaland West,Secondary,Unemployed,1,1,1,0,0,2,Medium,2.7,0,0,0,30,73.0,50.0,49.05,High Risk
46,Female,Urban,Bulawayo,Secondary,Formal,4,1,1,1,1,4,Low,1.1,1,1,0,0,10.0,0.0,3.5,Low Risk
18,Male,Urban,Matabeleland South,None,Informal,3,1,1,1,1,4,Low,3.3,1,1,0,0,32.0,20.0,15.2,Low Risk
18,Male,Urban,Harare,Secondary,Informal,3,0,1,0,0,1,High,3.7,1,1,0,70,20.0,0.0,38.5,Moderate Risk
36,Female,Rural,Mashonaland West,Secondary,Informal,3,1,1,0,0,2,Medium,3.3,1,1,0,30,42.0,0.0,28.2,Moderate Risk
35,Male,Rural,Mashonaland East,None,Informal,2,1,1,0,0,2,Medium,8.9,1,0,0,30,52.0,25.0,36.7,Moderate Risk
41,Female,Rural,Manicaland,Secondary,Informal,2,1,1,0,1,3,Low,5.8,1,1,1,20,50.0,5.0,27.5,Moderate Risk
28,Male,Urban,Matabeleland South,Secondary,Formal,5,1,1,1,1,4,Low,1.2,1,1,0,0,0.0,20.0,4.0,Low Risk
64,Male,Urban,Midlands,Secondary,Informal,4,1,1,0,1,3,Low,1.3,1,1,0,20,12.0,0.0,13.2,Low Risk
40,Female,Rural,Mashonaland East,None,Unemployed,1,0,0,1,0,1,High,25.4,1,0,1,80,77.0,50.0,72.95,Critical Risk
41,Male,Urban,Matabeleland South,Tertiary,Formal,5,1,1,1,1,4,Low,0.7,1,1,1,0,0.0,20.0,4.0,Low Risk
40,Female,Rural,Manicaland,Secondary,Informal,1,1,0,0,1,2,Medium,3.1,1,0,1,50,57.0,20.0,46.45,High Risk
52,Male,Rural,Midlands,Primary,Informal,2,0,0,0,0,0,High,8.8,1,1,1,100,46.0,5.0,62.1,High Risk
46,Female,Rural,Matabeleland South,Secondary,Informal,2,1,1,0,0,2,Medium,7.7,1,0,0,30,50.0,45.0,40.0,Moderate Risk
44,Female,Urban,Harare,Tertiary,Formal,5,1,1,0,1,3,Low,4.0,1,1,0,20,10.0,0.0,12.5,Low Risk
48,Female,Rural,Masvingo,Secondary,Informal,2,1,0,1,1,3,Low,38.5,1,0,0,30,50.0,70.0,45.0,Moderate Risk
18,Female,Rural,Matabeleland South,Secondary,Informal,2,0,1,0,1,2,Medium,3.3,0,1,1,60,58.0,50.0,57.3,High Risk
18,Female,Rural,Mashonaland East,Primary,Informal,2,1,1,1,0,3,Low,32.2,0,1,1,10,64.0,60.0,38.9,Moderate Risk
36,Female,Urban,Harare,Tertiary,Formal,5,1,0,1,1,3,Low,0.3,1,1,0,30,10.0,0.0,17.0,Low Risk
35,Male,Urban,Bulawayo,Secondary,Formal,4,1,1,1,1,4,Low,1.8,1,1,0,0,0.0,0.0,0.0,Low Risk
46,Male,Urban,Harare,Tertiary,Informal,4,1,1,0,0,2,Medium,5.5,1,1,0,30,12.0,5.0,18.7,Low Risk
38,Female,Urban,Harare,Secondary,Unemployed,4,1,1,1,0,3,Low,2.5,1,1,0,10,30.0,0.0,15.0,Low Risk
46,Male,Rural,Mashonaland Central,None,Unemployed,1,1,0,0,0,1,High,6.7,1,0,1,60,67.0,45.0,59.45,High Risk
20,Male,Rural,Matabeleland South,Secondary,Unemployed,2,0,0,0,0,0,High,2.6,0,1,1,100,56.0,50.0,74.6,Critical Risk
37,Female,Rural,Mashonaland East,Secondary,Formal,4,1,1,0,1,3,Low,10.5,1,1,0,20,30.0,15.0,22.5,Low Risk
19,Male,Urban,Bulawayo,Secondary,Unemployed,3,1,1,0,0,2,Medium,1.1,1,1,0,30,28.0,0.0,23.3,Low Risk
43,Female,Urban,Harare,Tertiary,Informal,5,1,1,0,1,3,Low,0.1,1,1,0,20,22.0,0.0,16.7,Low Risk
18,Female,Urban,Harare,Primary,Informal,3,1,1,0,0,2,Medium,1.2,1,1,1,30,36.0,0.0,26.1,Moderate Risk
42,Male,Urban,Bulawayo,Secondary,Informal,2,1,1,0,1,3,Low,5.3,1,1,1,20,20.0,5.0,17.0,Low Risk
