feature,importance,importance_pct
location_Urban,0.32522646,32.52
has_proof_of_address,0.07978246,7.98
has_national_id,0.07672764,7.67
income_quintile,0.05967701,5.97
has_mobile_phone,0.034009386,3.4
gender_Male,0.030558553,3.06
kyc_doc_score,0.02890533,2.89
province_Harare,0.028898256,2.89
has_internet,0.024610747,2.46
education_level_Tertiary,0.021107387,2.11
province_Matabeleland South,0.021036075,2.1
education_level_Secondary,0.018410623,1.84
employment_sector_Unemployed,0.018134857,1.81
employment_sector_Informal,0.018113457,1.81
province_Mashonaland East,0.017693518,1.77
province_Mashonaland Central,0.017076902,1.71
province_Matabeleland North,0.016856596,1.69
province_Masvingo,0.016760273,1.68
kyc_barrier_level_Low,0.01671606,1.67
has_tin,0.016420906,1.64
education_level_Primary,0.01580042,1.58
province_Manicaland,0.015669206,1.57
distance_to_branch_km,0.015443518,1.54
province_Midlands,0.015193324,1.52
has_employment_proof,0.01402131,1.4
province_Mashonaland West,0.013369048,1.34
age,0.013332624,1.33
kyc_barrier_level_Medium,0.010448085,1.04
