Group,N,Exclusion Rate (%),Mean FERI,Mean KYC Gap Score
Income Q1 (Lowest),1000,65.6,50.1,44.3
No Education,374,59.6,46.6,40.4
Rural,2206,61.0,46.5,42.0
Unemployed,1017,46.6,41.8,41.0
Informal Employment,2698,42.7,35.9,36.3
Age 18-25,972,36.6,33.7,31.6
Female,2570,38.9,33.1,31.2
Age 65+,142,31.7,32.5,30.1
Overall,5000,36.4,30.8,30.6
Age 46-64,1212,36.9,30.6,31.3
Age 26-45,2674,36.3,29.8,29.9
Male,2430,33.7,28.4,29.9
Tertiary Education,1038,21.5,21.8,24.5
Urban,2794,16.9,18.5,21.6
Formal Employment,1285,15.0,11.6,10.3
Income Q5 (Highest),1000,11.8,11.5,12.6
